Date,Basin,Site,Access_Point,Species ,Length_mm,Mass_g,Method,Notes,,,,
7/2/24,Big Hole ,Jerry,"45.79316, -112.90379",BRK,122,18.1,Spot Shock,,,,,
7/2/24,Big Hole ,Jerry,"45.79316, -112.90379",BRK,110,16,Spot Shock,,,,,
7/2/24,Big Hole ,Jerry,"45.79316, -112.90379",RBT,72,3.6,Spot Shock,,,,,
7/2/24,Big Hole ,Jerry,"45.79316, -112.90379",BRK,170,44.1,Spot Shock,,,,,
7/2/24,Big Hole ,Jerry,"45.79316, -112.90379",BRK,92,10.2,Spot Shock,,,,,
7/2/24,Big Hole ,Jerry,"45.79316, -112.90379",RBT,87,6.6,Spot Shock,,,,,
7/2/24,Big Hole ,Jerry,"45.79316, -112.90379",RBT,76,4.2,Spot Shock,,,,,
7/2/24,Big Hole ,Jerry,"45.79316, -112.90379",BRK,85,5.3,Spot Shock,,,,,
7/2/24,Big Hole ,Jerry,"45.79316, -112.90379",RBT,78,4.4,Spot Shock,,,,,
7/2/24,Big Hole ,Jerry,"45.79316, -112.90379",BRK,85,5.5,Spot Shock,,,,,
7/2/24,Big Hole ,Jerry,"45.79316, -112.90379",BRN,148,32.8,Spot Shock,,,,,
7/2/24,Big Hole ,Jerry,"45.79316, -112.90379",BRK,142,29.6,Spot Shock,,,,,
7/2/24,Big Hole ,Jerry,"45.79316, -112.90379",BRK,123,17.4,Spot Shock,,,,,
7/2/24,Big Hole ,Jerry,"45.79316, -112.90379",BRK,128,19.5,Spot Shock,,,,,
7/2/24,Big Hole ,Jerry,"45.79316, -112.90379",BRK,112,13.7,Spot Shock,,,,,
7/3/24,Big Hole ,French ,"45.91519, -113.10603",BRK,202,100,Spot Shock,,,,,
7/3/24,Big Hole ,French ,"45.91519, -113.10603",BRK,275,242,Spot Shock,,,,,
7/3/24,Big Hole ,French ,"45.91519, -113.10603",Sucker ,151,37.5,Spot Shock,,,,,
7/3/24,Big Hole ,French ,"45.91519, -113.10603",Sucker ,109,13.4,Spot Shock,,,,,
7/3/24,Big Hole ,French ,"45.91519, -113.10603",LND,46,1.1,Spot Shock,,,,,
7/3/24,Big Hole ,French ,"45.91519, -113.10603",LND,40,0.6,Spot Shock,,,,,
7/3/24,Big Hole ,French ,"45.91519, -113.10603",Sucker ,181,68.2,Spot Shock,,,,,
7/3/24,Big Hole ,French ,"45.91519, -113.10603",RBT,126,20.4,Spot Shock,,,,,
7/3/24,Big Hole ,French ,"45.91519, -113.10603",Sucker ,114,16.1,Spot Shock,,,,,
7/3/24,Big Hole ,French ,"45.91519, -113.10603",LND,42,1.1,Spot Shock,,,,,
7/3/24,Big Hole ,French ,"45.91519, -113.10603",Sucker ,97,10.9,Spot Shock,,,,,
7/3/24,Big Hole ,French ,"45.91519, -113.10603",Sucker ,116,17.2,Spot Shock,,,,,
7/3/24,Big Hole ,French ,"45.91519, -113.10603",LND,61,2.1,Spot Shock,,,,,
7/3/24,Big Hole ,French ,"45.91519, -113.10603",BRK,49,1.5,Spot Shock,,,,,
7/3/24,Big Hole ,French ,"45.91519, -113.10603",LND,86,6.1,Spot Shock,,,,,
7/3/24,Big Hole ,French ,"45.91519, -113.10603",LND,50,1.2,Spot Shock,,,,,
7/3/24,Big Hole ,French ,"45.91519, -113.10603",Sucker ,112,16.5,Spot Shock,,,,,
7/3/24,Big Hole ,French ,"45.91519, -113.10603",LND,63,2.2,Spot Shock,,,,,
7/3/24,Big Hole ,French ,"45.91519, -113.10603",LND,67,2.5,Spot Shock,,,,,
7/3/24,Big Hole ,French ,"45.91519, -113.10603",Sucker ,64,2.8,Spot Shock,,,,,
7/3/24,Big Hole ,French ,"45.91519, -113.10603",LND,74,4,Spot Shock,7 more LND from French ,,,,
7/15/24,Big Hole ,Deep - Upper,"45.9038, -113.11032",BRK,173,70.2,Spot Shock,,,,,
7/15/24,Big Hole ,Deep - Upper,"45.9038, -113.11032",BRK,219,102,Spot Shock,,,,,
7/15/24,Big Hole ,Deep - Upper,"45.9038, -113.11032",BRK,120,21,Spot Shock,,,,,
7/15/24,Big Hole ,Deep - Upper,"45.9038, -113.11032",BRK,190,66.3,Spot Shock,,,,,
7/15/24,Big Hole ,Deep - Upper,"45.9038, -113.11032",BRK,175,66.1,Spot Shock,,,,,
