Sample,Drainage,Tributary,Ba_mgL,Ca_mgL,Sr_mgL,Mg_mgL,Mn_mgL,Ba/Ca,Sr/Ca,Mn/Ca,Mg/Ca,87Sr/86Sr,,
30,Big Hole,Lower Deep Creek,0.028482,13.8,0.064772,3.42,0.008888,0.002064063,0.004693963,0.000644105,0.247481702,0.712771,,
31,Big Hole,Pennington Bridge,0.049034,25.1,0.136027,6.05,0.017496,0.001953468,0.005419186,0.000697024,0.241026254,0.713306,,
32,Big Hole,SalmonFly FAS,0.045219,21.3,0.107956,5.51,0.013677,0.002123257,0.005069071,0.000642203,0.258909706,0.714211,,
33,Big Hole,Jerry Creek Ramp,0.050337,15.44,0.069682,5.25,0.013762,0.003259957,0.004512791,0.000891264,0.33987436,0.715842,,
34,Big Hole,Dickie Bridge,0.03335,11.57,0.092834,2.72,0.028379,0.002883202,0.008025763,0.002453445,0.234892366,0.714547,,
35,Big Hole,Downstream North Fork,0.025966,8.59,0.07601,2.06,0.025163,0.003022465,0.008847631,0.002928995,0.239203818,0.715331,,
36,Big Hole,Wisdom,0.047336,9.13,0.06879,2.63,0.056877,0.005184098,0.007533676,0.006229,0.288029789,0.721424,,
37,Big Hole,Dowstream Jackson,0.052164,7.77,0.061164,2.22,0.021876,0.006710059,0.007867764,0.002813995,0.285824543,0.721492,,
38,Big Hole,Skinner Meadow,0.040522,4.99,0.030439,1.67,0.005001,0.008114137,0.006095114,0.001001402,0.334801762,0.733129,,
39,Ruby,Tash Spring,0.098046,81.25,0.375179,27.52,0.031051,0.001206735,0.004617645,0.000382171,0.338724169,0.718512,,
40,Ruby,Stinking Water Slough,0.051327,68.49,0.636949,27.82,0.029942,0.000749365,0.00929934,0.000437148,0.406123164,0.711718,,
41,Ruby,Lower Wisconsin Creek,0.069163,66.45,0.39549,25.4,0.015032,0.001040906,0.005952141,0.000226232,0.382301151,0.716659,,
42,Ruby,Leonard Slough,0.077721,71.05,0.336245,22.44,0.011911,0.001093969,0.004732845,0.000167654,0.31578577,0.717139,,
43,Ruby,Lower Mill Creek,0.062913,60.88,0.345258,22.81,0.024213,0.00103336,0.005670937,0.000397704,0.374692027,0.715864,,
44,Ruby,Silver Spring,0.031065,77.74,0.67665,30.24,0.009607,0.000399617,0.008704349,0.000123583,0.389003949,0.710711,,
45,Ruby,Clear Creek,0.064568,68.84,0.604522,23.4,0.02803,0.000938011,0.008782189,0.000407206,0.339928815,0.710519,,
46,Ruby,Lower California Creek,0.071009,46.17,0.260687,15.81,0.013195,0.00153799,0.005646242,0.000285792,0.342495127,0.718102,,
47,Ruby,Lower Alder Creek,0.079078,63.72,0.372836,23.06,0.015636,0.001241004,0.00585107,0.000245382,0.361890115,0.717047,,
48,Ruby,Upper Wisconsin Creek,0.038602,34.5,0.191387,10.7,0.002576,0.001118866,0.005547288,7.47E-05,0.310019999,0.716968,,
49,Ruby,Upper Indian Creek,0.012527,16.35,0.044029,4.2,0.005429,0.000766318,0.002693399,0.00033211,0.257111397,0.725242,,
50,Ruby,Upper Mill Creek,0.027805,29.62,0.105126,10.58,0.005317,0.000938692,0.003549036,0.000179501,0.357043989,0.72415,,
51,Ruby,Ramshorn Creek,0.032386,19.3,0.071594,7.04,0.009292,0.001677944,0.003709341,0.000481426,0.364488887,0.732114,,
52,Ruby,Upper California Creek,0.067962,42.32,0.198346,14.84,0.01732,0.001606059,0.004687258,0.000409301,0.350718404,0.722759,,
53,Ruby,Upper Alder Creek,0.060275,72.79,0.438544,24.49,0.028993,0.000828056,0.006024701,0.000398305,0.336442692,0.715748,,
54,Ruby,Dam,0.067773,69.34,0.626482,22.67,0.037843,0.000977429,0.00903519,0.000545776,0.326949148,0.710299,,
55,Ruby,Laurin,0.065092,72.8,0.649818,24.3,0.018024,0.00089417,0.008926562,0.000247596,0.333795813,0.710514,,
56,Ruby,Silver Spring Bridge,0.064362,70.43,0.588479,25.69,0.018116,0.000913895,0.008355991,0.000257235,0.364737455,0.711563,,
57,Ruby,Seyler Lane,0.067982,71.58,0.559003,26,0.016451,0.000949748,0.007809595,0.00022983,0.363165174,0.712226,,
58,Beaverhead,Grasshopper Creek,0.056438,25.91,0.133743,6.14,0.021157,0.002178569,0.005162626,0.000816683,0.237087933,0.71346,,
59,Beaverhead,Lower Blacktail Creek,0.066199,66.25,0.536204,22.79,0.010348,0.00099926,0.00809389,0.000156201,0.344010385,0.710931,,
60,Beaverhead,Upper Blacktail Creek,0.075014,66.68,0.409811,19.15,0.005232,0.001125019,0.00614612,7.85E-05,0.287156183,0.710259,,
61,Beaverhead,McCoy Spring Creek,0.055065,100.81,0.831649,26.67,0.007561,0.000546236,0.008249831,7.50E-05,0.264542497,0.711004,,
62,Beaverhead,Circle 3 Spring,0.057342,82.25,0.669986,27.93,0.007329,0.000697167,0.008145726,8.91E-05,0.3396231,0.711214,,
63,Beaverhead,Lower Stone Creek,0.048623,97.76,0.801595,40.97,0.011,0.000497386,0.008199873,0.000112524,0.419079964,0.712951,,
64,Beaverhead,Larsen Spring Creek,0.061331,81.82,0.727227,34.67,0.014544,0.000749612,0.008888458,0.000177763,0.423762788,0.712653,,
65,Beaverhead,Spring Creek,0.094058,97.29,0.526967,61.75,0.00979,0.00096678,0.005416456,0.000100627,0.634731216,0.716553,,
66,Beaverhead,Dartizumer Spring,0.061789,73.87,0.675409,30.97,0.019846,0.000836513,0.00914383,0.000268679,0.419291952,0.7115,,
67,Beaverhead,Ousley Spring,0.059703,34.34,0.195,8.51,0.100708,0.001738635,0.005678674,0.002932759,0.247677568,0.712973,,
68,Beaverhead,Silver Bow,0.062571,74.49,0.707247,28.95,0.03276,0.000840003,0.00949465,0.000439796,0.388661413,0.711369,,
69,Beaverhead,Andersen,0.064155,65.15,0.609202,22.7,0.008304,0.000984743,0.009350903,0.000127462,0.348355309,0.711073,,
70,Beaverhead,Barretts,0.057807,48.96,0.547843,20.66,0.015733,0.001180674,0.011189375,0.000321337,0.421866383,0.711066,,
71,Beaverhead,Dam,0.0704,59.12,0.592394,22.22,0.016248,0.001190798,0.010020196,0.000274831,0.375828823,0.710852,,
72,Beaverhead,Twin Bridges,0.063421,69.87,0.596459,26.62,0.026317,0.000907765,0.008537308,0.000376684,0.380991913,0.711834,,
,Jefferson,,0.05805,48.29,0.36862,16.61,0.019981,0.001202237,0.007634255,0.000413814,0.344082013,0.712165,,
