Species ,Waterbody,Date Collected,Year,Sample Number,ID,Head or Whole,Length_mm,Mass_g,Location,Collection Method,Sex,Fin Clip Collected?,Tissue Collected?,Stomach?,Otolith Collected?,,,,,,
BRN,BH,7/9/24,24,44,BRN.BH.24.44,Whole ,214,111.7,Glen- Tony,Angling,M,Y,Y,Y,Y,,,,,,
BRN,BH,7/9/24,24,45,BRN.BH.24.45,Whole ,275,247.5,Glen- Tony,Angling,M,Y,Y,Y,Y,,,,,,
BRN,BH,7/9/24,24,46,BRN.BH.24.46,Whole ,295,303.2,Glen- Tony,Angling,F,Y,Y,Y,Y,,,,,,
BRN,BH,7/9/23,24,47,BRN.BH.24.47,Whole ,325,416.8,Glen- Tony,Angling,M,Y,Y,Y,Y,,,,,,
BRN,BH,7/9/24,24,48,BRN.BH.24.48,Whole ,340,541,U.Maid-Salmon,Angling,M,Y,Y,Y,Y,,,,,,
BRN,BH,7/8/24,24,49,BRN.BH.24.49,Whole ,360,504.4,Jerry- Divide,Angling,F,Y,Y,Y,Y,,,,,,
BRN,BH,7/8/24,24,50,BRN.BH.24.50,Whole ,340,488.6,Jerry- Divide,Angling,M,Y,Y,Y,Y,Broken 2nd otolith,,,,,
BRN,BH,7/8/24,24,51,BRN.BH.24.51,Whole ,445,858.4,Jerry- Divide,Angling,M,Y,Y,Y,Y,,,,,,
BRN,BH,7/9/24,24,52,BRN.BH.24.52,Whole ,420,730,U.Maid-Salmon,Angling,M,Y,Y,Y,Y,,,,,,
BRN,BH,7/8/24,24,53,BRN.BH.24.53,Whole ,335,428,Jerry- Divide,Angling,F,Y,Y,Y,Y,,,,,,
BRN,BH,7/8/24,24,54,BRN.BH.24.54,Whole ,380,570,Jerry- Divide,Angling,F,Y,Y,Y,Y,,,,,,
BRN,BH,7/9/24,24,55,BRN.BH.24.55,Whole ,415,699.6,U.Maid-Salmon,Angling,M,Y,Y,Y,Y,,,,,,
BRN,BH,7/10/24,24,56,BRN.BH.24.56,Whole ,389,696.4,Salmon- Brownes,Angling,M,Y,Y,Y,Y,,,,,,
BRN,BH,7/9/24,24,57,BRN.BH.24.57,Whole ,385,625.7,U.Maid-Salmon,Angling,M,Y,Y,Y,Y,,,,,,
BRN,BH,7/9/24,24,58,BRN.BH.24.58,Whole ,290,266.8,U.Maid-Salmon,Angling,M,Y,Y,Y,Y,,,,,,
BRN,BH,4/18/24,24,59,BRN.BH.24.59,Head,386.08,580.59,Stop 1,Spring Electro,U,Y,Y,N,Y,,,,,,
BRN,BH,4/18/24,24,60,BRN.BH.24.60,Head,233.68,104.32,Stop 1,Spring Electro,U,Y,Y,N,Y,,,,,,
BRN,BH,4/18/24,24,61,BRN.BH.24.61,Head,317.5,290.29,Stop 1,Spring Electro,U,Y,Y,N,Y,,,,,,
BRN,BH,4/18/24,24,62,BRN.BH.24.62,Head,233.68,90.71,Stop 1,Spring Electro,U,Y,Y,N,Y,,,,,,
BRN,BH,4/18/24,24,63,BRN.BH.24.63,Head,302.26,235.86,Stop 2,Spring Electro,U,Y,Y,N,Y,,,,,,
BRN,BH,4/18/24,24,64,BRN.BH.24.64,Head,398.78,644.1,Stop 2 ,Spring Electro,U,Y,Y,N,Y,Opperculum clipped,,,,,
BRN,BH,4/18/24,24,65,BRN.BH.24.65,Head,292.1,199.58,Stop 2,Spring Electro,U,Y,Y,N,Y,Opperculum clipped,,,,,
BRN,BH,4/18/24,24,66,BRN.BH.24.66,Head,279.4,172.36,,Spring Electro,U,Y,Y,N,Y,,,,,,
BRN,BH,4/18/24,24,67,BRN.BH.24.67,Head,469.9,1093.15,Stop 1,Spring Electro,U,Y,Y,N,Y,,,,,,
BRN,BH,4/18/24,24,68,BRN.BH.24.68,Head,386.08,530.7,Stop 1,Spring Electro,U,Y,Y,N,Y,,,,,,
BRN,BH,7/2/24,24,69,BRN.BH.24.69,Whole,320,366.9,Jerry Creek,Angling,M,Y,Y,Y,Y,,,,,,
BRN,BH,4/18/24,24,70,BRN.BH.24.70,Head,535.94,1406.14,Stop 1 ,Spring Electro,F,Y,Y,N,Y,,,,,,
BRN,BH,4/18/24,24,71,BRN.BH.24.71,Head,482.6,1002.439,Stop 1,Spring Electro,F,Y,Y,N,Y,,,,,,
BRN,BH,4/18/24,24,72,BRN.BH.24.72,Head,231.14,99.79032,Stop 2,Spring Electro,U,Y,Y,N,Y,,,,,,
BRN,BH,4/18/24,24,73,BRN.BH.24.73,Head,299.72,231.3321,Stop 1,Spring Electro,U,Y,Y,N,Y,,,,,,
BRN,BH,4/18/24,24,74,BRN.BH.24.74,Head,495.3,997.903,Stop 1,Spring Electro,F,Y,Y,N,Y,,,,,,
BRN,BH,4/18/24,24,75,BRN.BH.24.75,Head,447.04,680.389,Stop 1,Spring Electro,U,Y,Y,N,Y,,,,,,
BRN,BH,4/18/24,24,76,BRN.BH.24.76,Head,485.14,997.903,Stop 2,Spring Electro,U,Y,Y,N,Y,Operculum Clip,,,,,
BRN,BH,4/18/24,24,77,BRN.BH.24.77,Head,238.76,108.8622,Stop 1,Spring Electro,U,Y,Y,N,Y,,,,,,
BRN,BH,4/18/24,24,78,BRN.BH.24.78,Head,297.18,235.868,Stop 2,Spring Electro,U,Y,Y,N,Y,Operculum Clip,,,,,
BRN,BH,4/18/24,24,79,BRN.BH.24.79,Head,322.58,290.2991,Stop 1,Spring Electro,F,Y,Y,N,Y,Operculum Clip,,,,,
BRN,BH,4/18/24,24,80,BRN.BH.24.80,Head,391.16,598.7419,Stop 2,Spring Electro,U,Y,Y,N,Y,,,,,,
BRN,BH,4/18/24,24,81,BRN.BH.24.81,Head,391.16,589.67,Stop 1,Spring Electro,U,Y,Y,N,Y,,,,,,
BRN,BH,4/18/24,24,82,BRN.BH.24.82,Head,365.76,494.4157,Stop 1,Spring Electro ,U,Y,Y,N,Y,,,,,,
CUT-BOW,BH,7/8/24,24,1,CUT-BOW.BH.24.1,Whole ,215,117.6,Jerry- Divide,Angling,M,Y,Y,Y,Y,,,,,,
CUT-BOW,BH,7/8/24,24,2,CUT-BOW.BH.24.2,Whole ,400,695,Jerry- Divide,Angling,M,Y,Y,Y,Y,,,,,,
RBT,BH,4/18/24,24,1,RBT.BH.24.1,Head,400,580,Stop 1,Spring Electro,U,Y,Y,N,Y,Fin clip from opercle; Stomach lost in freezer thaw,,,,Total otoliths:,143
RBT,BH,4/18/24,24,2,RBT.BH.24.2,Head,226,127,Stop 3,Spring Electro,U,Y,Y,N,Y,Fin clip from opercle; Stomach lost in freezer thaw,,,,,
RBT,BH,4/18/24,24,3,RBT.BH.24.3,Head,243,131,Stop 1,Spring Electro,U,Y,Y,N,Y,Fin clip from pec; Stomach lost in freezer thaw,,,,,
RBT,BH,4/18/24,24,4,RBT.BH.24.4,Head,231,104,Stop 2,Spring Electro,U,Y,Y,N,Y,Fin clip from opercle - only 1 otolith ; Stomach lost in freezer thaw,,,,,
RBT,BH,7/8/24,24,5,RBT.BH.24.5,Whole,225,166.7,Jerry- Divide,Angling,U,Y,Y,Y,Y,,,,,,
RBT,BH,7/8/24,24,6,RBT.BH.24.6,Whole,230,145.6,Jerry- Divide,Angling,U,Y,Y,Y,Y,,,,,,
RBT,BH,7/8/24,24,7,RBT.BH.24.7,Whole,265,233.2,Jerry- Divide,Angling,F,Y,Y,Y,Y,Broken 2nd otolith,,,,,
RBT,BH,7/8/24,24,8,RBT.BH.24.8,Whole,235,156.3,Jerry- Divide,Angling,M,Y,Y,Y,Y,,,,,,
RBT,BH,7/8/24,24,9,RBT.BH.24.9,Whole,225,149,Jerry- Divide,Angling,F,Y,Y,Y,Y,Broken 2nd otolith,,,,,
RBT,BH,7/8/24,24,10,RBT.BH.24.10,Whole,200,108.3,Jerry- Divide,Angling,M,Y,Y,Y,Y,,,,,,
RBT,BH,7/8/24,24,11,RBT.BH.24.11,Whole,255,218.6,Jerry- Divide,Angling,M,Y,Y,Y,Y,Only 1 otolith ,,,,,
RBT,BH,7/8/24,24,12,RBT.BH.24.12,Whole,240,189.4,Jerry- Divide,Angling,F,Y,Y,Y,Y,,,,,,
RBT,BH,7/8/24,24,13,RBT.BH.24.13,Whole ,160,54.3,Jerry- Divide,Angling,U,Y,Y,Y,Y,Only 1 otolith ,,,,,
RBT,BH,7/8/24,24,14,RBT.BH.24.14,Whole ,215,113.5,Jerry- Divide,Angling,M,Y,Y,Y,Y,Broken 2nd otolith,,,,,
RBT,BH,7/8/24,24,15,RBT.BH.24.15,Whole ,310,338.2,Jerry- Divide,Angling,M,Y,Y,Y,Y,,,,,,
RBT,BH,7/8/24,24,16,RBT.BH.24.16,Whole ,215,117,Jerry- Divide,Angling,M,Y,Y,Y,Y,,,,,,
RBT,BH,7/8/24,24,17,RBT.BH.24.17,Whole ,220,139.7,Jerry- Divide,Angling,M,Y,Y,Y,Y,,,,,,
RBT,BH,7/8/24,24,18,RBT.BH.24.18,Whole ,205,103,Jerry- Divide,Angling,M,Y,Y,Y,Y,,,,,,
